N,X,Y,Slice
495,2866,5284,3
496,1882,5285,3
497,2034,5284,3
498,2649,5300,3
499,2237,5329,3
500,2348,5372,3
501,1595,5374,3
502,2212,5376,3
503,1556,5396,3
504,2895,5401,3
505,2010,5404,3
506,1951,5406,3
507,1653,5434,3
508,1446,5446,3
509,2657,5463,3
510,1443,5461,3
511,2027,5479,3
512,2296,5496,3
513,1762,5513,3
514,1867,5521,3
515,1353,5528,3
516,1537,5634,3
517,1688,5636,3
518,2093,5649,3
519,2537,5644,3
520,1776,5645,3
521,2723,5662,3
522,2571,5668,3
523,1913,5775,3
524,2453,5864,3
